"peak_rank","points","year","artist_name","song_title","initial_match","falsetto","gender","register","genre","spoken","pandora_id","preview_url"
27,602,1958,"Marty Robbins","She Was Only Seventeen","True",0,"male",4,"Country",0,7224240,NULL
93,8,1958,"Mike Preston","A House A Car And A Wedding Ring","True",0,"male",4,"Pop",0,696838,NULL
94,7,1958,"Mitch Miller and his Orchestra and Chorus","Bluebell","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,18,1958,"Nappy Brown","It Don't Hurt No More","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,444,1958,"Nat King Cole","Come Closer To Me (Acercate Mas) (Remastered 2003)","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,20,1958,"Nat King Cole","Looking Back","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,454,1958,"Nat King Cole","Non Dimenticar (Don't Forget)","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
99,2,1958,"Nat King Cole","Nothing In The World","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,937,1958,"Neil Sedaka","Diary, The","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,114,1958,"Oscar McLollie and Jeanette Baker","Hey Girl - Hey Boy","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,610,1958,"Pat Boone","For My Good Fortune","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,405,1958,"Pat Boone","Gee But It's Lonely","True",0,"male",5,"Pop",0,12210790,NULL
34,547,1958,"Pat Boone","I'll Remember Tonight","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,604,1958,"Pat Boone","If Dreams Came True","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,228,1958,"Pat Boone","That's How Much I Love You","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,413,1958,"Patti Page","Fibbin'","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,466,1958,"Patti Page","Left Right Out Of Your Heart (Hi-Lee Hi-Lo Hi-Lup Up Up)","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,1138,1958,"Paul Anka","(All Of A Sudden) My Heart Sings","True",0,"male",8,"Pop",0,6801083,NULL
29,444,1958,"Paul Anka","Teen Commandments, The","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,64,1958,"Paul Anka","Just Young","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,109,1958,"Paul Anka","Midnight","True",0,"male",8,"Pop",0,10906462,NULL
8,876,1958,"Peggy Lee","Fever","True",0,"male",5,"Pop",0,6596544,NULL
63,161,1958,"Peggy Lee","Light Of Love","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
98,4,1958,"Peggy Lee","Sweetheart","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,277,1958,"Perez Prado And His Orchestra","Guaglione (Mambo)","True",0,"#N/A",0,"Latin",0,16433392,NULL
95,6,1958,"Perez Prado And His Orchestra","Paris","False",0,"#N/A",0,"Pop",0,8975603,NULL
2,1056,1958,"Perez Prado And His Orchestra","Patricia","True",0,"#N/A",0,"Pop",0,8975603,NULL
